gwcode,year,SP.DYN.IMRT.IN
420,1979,108.9
432,1979,164.1
433,1979,98.1
434,1979,129.3
435,1979,93.9
436,1979,130.1
437,1979,116.1
438,1979,170.7
439,1979,116.5
450,1979,163.5
451,1979,169.7
452,1979,101.9
461,1979,108.6
471,1979,112.3
475,1979,129.3
481,1979,76.4
482,1979,118.8
483,1979,123
484,1979,71.2
490,1979,132.8
500,1979,127.3
501,1979,71.3
510,1979,108.8
516,1979,135.7
517,1979,137.7
520,1979,NA
522,1979,120
530,1979,142.7
540,1979,NA
541,1979,172.4
551,1979,94.9
552,1979,68.1
553,1979,154.6
560,1979,69.1
570,1979,100.5
571,1979,56.8
572,1979,86.2
580,1979,103.4
581,1979,122.8
590,1979,34.3
600,1979,96.7
615,1979,107.5
616,1979,73.5
620,1979,59.6
625,1979,90.3
630,1979,82.7
640,1979,93.6
645,1979,56.6
651,1979,119.8
652,1979,49
660,1979,41.2
663,1979,45.1
666,1979,16.1
670,1979,75
678,1979,146.6
680,1979,NA
690,1979,31.8
692,1979,28.6
694,1979,31
696,1979,31.9
698,1979,86.2
700,1979,167.7
710,1979,50.5
712,1979,115.3
713,1979,NA
731,1979,NA
732,1979,31.3
740,1979,7.9
750,1979,117.5
760,1979,136.3
770,1979,125.6
771,1979,136.4
775,1979,99.9
780,1979,42.1
781,1979,112.5
790,1979,144
800,1979,49.2
811,1979,128.5
812,1979,138.2
816,1979,47.3
820,1979,27.5
830,1979,12.2
840,1979,53.8
850,1979,87.3
900,1979,11.3
910,1979,78.3
920,1979,13.1
940,1979,43.4
950,1979,36.9
54,1979,15.9
55,1979,NA
56,1979,25.9
57,1979,44.9
221,1979,NA
223,1979,NA
331,1979,NA
232,1979,NA
403,1979,58.1
591,1979,27.9
970,1979,NA
971,1979,NA
972,1979,NA
973,1979,NA
990,1979,NA
2,1980,12.6
20,1980,10.3
31,1980,25.2
40,1980,16.7
41,1980,128
42,1980,63.7
51,1980,32.6
52,1980,34.1
53,1980,23.8
70,1980,55.2
90,1980,87.7
91,1980,68.8
92,1980,78.8
93,1980,78.1
94,1980,19.8
95,1980,35.4
100,1980,44.6
101,1980,35.4
110,1980,52.9
115,1980,NA
130,1980,67.6
135,1980,82.8
140,1980,77.2
145,1980,111.8
150,1980,49.8
155,1980,28.2
160,1980,37.5
165,1980,35.5
200,1980,12
205,1980,12
210,1980,8.8
211,1980,12.2
212,1980,11.3
220,1980,10.2
225,1980,8.4
230,1980,12.3
235,1980,22.7
260,1980,NA
265,1980,NA
290,1980,21
305,1980,13.8
310,1980,21.5
315,1980,NA
325,1980,14.3
338,1980,15.1
339,1980,63.4
345,1980,NA
350,1980,17.4
352,1980,19.1
355,1980,19.6
360,1980,28.5
365,1980,23.2
375,1980,7.2
380,1980,7.1
385,1980,8.2
390,1980,8.3
395,1980,7.7
402,1980,65.4
404,1980,NA
411,1980,NA
420,1980,106.6
432,1980,160.6
433,1980,95.3
434,1980,127.2
435,1980,92
436,1980,129.3
437,1980,113.1
438,1980,167.7
439,1980,113.9
450,1980,161.3
451,1980,167.7
452,1980,100.7
461,1980,106.3
471,1980,110.3
475,1980,127
481,1980,74.1
482,1980,117.6
483,1980,122.2
484,1980,69.6
490,1980,131.2
500,1980,128.2
501,1980,69.1
510,1980,108
516,1980,130.9
517,1980,129
520,1980,NA
522,1980,117.1
530,1980,141.8
540,1980,139.7
541,1980,172.5
551,1980,95.3
552,1980,66.5
553,1980,148.8
560,1980,65.9
570,1980,96.4
571,1980,54.1
572,1980,82.8
580,1980,104.8
581,1980,119.3
590,1980,32.1
600,1980,93.4
615,1980,101.1
616,1980,69.3
620,1980,57.1
625,1980,89.8
630,1980,77.3
640,1980,89.8
645,1980,54.7
651,1980,114.2
652,1980,46.8
660,1980,40.1
663,1980,43.3
666,1980,15.3
670,1980,70.7
678,1980,138.8
680,1980,NA
690,1980,29.7
692,1980,26.9
694,1980,29.7
696,1980,29.1
698,1980,79.4
700,1980,163.3
710,1980,48.2
712,1980,111.7
713,1980,NA
731,1980,NA
732,1980,29.7
740,1980,7.4
750,1980,114.3
760,1980,131.6
770,1980,124
771,1980,133.6
775,1980,97.8
780,1980,39.7
781,1980,107.2
790,1980,140
800,1980,47.3
811,1980,116.2
812,1980,135.5
816,1980,46.4
820,1980,25.7
830,1980,11.9
840,1980,53.4
850,1980,85
900,1980,10.8
910,1980,76.6
920,1980,12.7
940,1980,41.4
950,1980,35.3
54,1980,14.9
55,1980,NA
56,1980,24.4
57,1980,41.5
221,1980,NA
223,1980,NA
331,1980,NA
232,1980,NA
403,1980,58.4
591,1980,25.4
935,1980,51.7
970,1980,NA
971,1980,NA
972,1980,NA
973,1980,NA
990,1980,NA
2,1981,12.1
20,1981,9.7
31,1981,24.8
40,1981,16.3
41,1981,125
42,1981,61.7
51,1981,31.8
52,1981,33.1
53,1981,22.7
70,1981,52.8
80,1981,48.3
90,1981,84.8
91,1981,66
92,1981,75
93,1981,74
94,1981,19.2
95,1981,34.3
100,1981,42.2
101,1981,34.1
110,1981,52.5
115,1981,NA
130,1981,64.8
135,1981,81.1
140,1981,74.3
145,1981,109.2
150,1981,48.6
155,1981,25.5
160,1981,34.7
165,1981,32.1
200,1981,11.4
205,1981,11
210,1981,8.6
211,1981,11.7
212,1981,10.9
220,1981,9.8
225,1981,8.1
230,1981,11.4
235,1981,21.2
260,1981,NA
265,1981,NA
290,1981,20.5
305,1981,13.2
310,1981,20.6
315,1981,13.3
325,1981,13.4
338,1981,14.5
339,1981,59.1
345,1981,NA
350,1981,16.3
352,1981,17.6
355,1981,18.7
360,1981,27.4
365,1981,22.8
375,1981,6.8
380,1981,6.9
385,1981,8
390,1981,8
395,1981,7.3
402,1981,64.1
404,1981,NA
411,1981,NA
420,1981,104.3
432,1981,157.1
433,1981,93
434,1981,125.3
435,1981,90
436,1981,129.1
437,1981,110.6
438,1981,164.7
439,1981,111.8
450,1981,159.4
451,1981,165.9
452,1981,99.9
461,1981,104.2
471,1981,107.6
475,1981,125.4
481,1981,71.8
482,1981,116.7
483,1981,121.4
484,1981,68
490,1981,129.5
500,1981,127.6
501,1981,67.2
510,1981,107.9
516,1981,125.7
517,1981,119.8
520,1981,NA
522,1981,114.1
530,1981,140.4
540,1981,138
541,1981,172.7
551,1981,95.8
552,1981,64.1
553,1981,144.3
560,1981,62.9
570,1981,92.5
571,1981,51.6
572,1981,79.1
580,1981,106.3
581,1981,115.7
590,1981,30.1
600,1981,90
615,1981,93.7
616,1981,65.7
620,1981,54.7
625,1981,89.3
630,1981,72.2
640,1981,85.9
645,1981,53
651,1981,108.5
652,1981,44.7
660,1981,38.8
663,1981,41.6
666,1981,14.6
670,1981,66.8
678,1981,131.1
680,1981,NA
690,1981,27.4
692,1981,25.4
694,1981,28.4
696,1981,26.5
698,1981,72.9
700,1981,158.9
710,1981,46.3
712,1981,108.2
713,1981,NA
731,1981,NA
732,1981,27.9
740,1981,6.9
750,1981,111.2
760,1981,126.9
770,1981,122.4
771,1981,130.7
775,1981,95.9
780,1981,37.1
781,1981,102.3
790,1981,136
800,1981,45.4
